Time(sec),READ(#),WRITE(#),READ(KB),WRITE(KB)
2.877885341644287,13,41,114.000,1945.500
6.108686447143555,18,66,544.000,4872.000
8.997645616531372,6,95,160.500,3012.500
11.748177766799927,1,42,32.000,4539.000
14.528858423233032,0,34,0.000,5510.000
17.21517825126648,0,64,0.000,5198.000
19.92500114440918,2,67,32.000,3176.500
22.62116551399231,2,60,48.000,4401.000
25.39537000656128,2,26,64.000,4973.000
28.091951608657837,0,102,0.000,9839.000
30.753384351730347,1,95,16.000,3099.500
33.447978496551514,1,57,16.000,4137.000
36.32041954994202,0,46,0.000,4035.000
39.27577519416809,11,129,192.000,5246.000
41.97467756271362,1,181,16.000,5454.000
44.61119508743286,0,106,0.000,5143.000
47.26611018180847,0,19,0.000,3196.000
50.022427558898926,1,98,16.000,5775.000
52.643677711486816,1,95,16.000,1729.000
55.377909660339355,0,32,0.000,1822.500
58.03569293022156,0,27,0.000,4366.000
