Time(sec),PID,PNAME,CPU(%),NUM THREADS,MEMORY(MB),MEMORY(%),READ_IO(#),WRITE_IO(#),READ_IO(KB),WRITE_IO(KB)
0.4555823802947998,16752,OneDrive.exe,11.61,28,220.887,1.36,0,0,0.000,0.000
0.4555823802947998,22444,python.exe,10.61,17,71.418,0.44,0,0,0.000,0.000
0.4555823802947998,5632,MsMpEng.exe,6.53,52,242.328,1.5,0,0,0.000,0.000
0.4555823802947998,1412,dwm.exe,1.91,21,105.449,0.65,0,0,0.000,0.000
0.4555823802947998,7272,pycharm64.exe,1.19,94,2360.484,14.59,0,0,0.000,0.000
0.4555823802947998,4,System,0.75,236,3.793,0.02,0,0,0.000,0.000
0.4555823802947998,13920,MfeAVSvc.exe,0.66,64,37.812,0.23,0,0,0.000,0.000
0.4555823802947998,1444,csrss.exe,0.25,13,5.859,0.04,0,0,0.000,0.000
0.4555823802947998,26068,chrome.exe,0.24,28,222.375,1.37,0,0,0.000,0.000
0.4555823802947998,16172,chrome.exe,0.23,18,58.391,0.36,0,0,0.000,0.000
0.4555823802947998,11692,fsnotifier.exe,0.21,2,2.512,0.02,0,0,0.000,0.000
0.4555823802947998,1884,svchost.exe,0.14,10,14.789,0.09,0,0,0.000,0.000
0.4555823802947998,1716,svchost.exe,0.14,21,27.617,0.17,0,0,0.000,0.000
0.4555823802947998,1528,lsass.exe,0.12,9,14.746,0.09,0,0,0.000,0.000
0.4555823802947998,1496,services.exe,0.12,8,8.359,0.05,0,0,0.000,0.000
0.4555823802947998,28460,chrome.exe,0.00,17,43.527,0.27,0,0,0.000,0.000
0.4555823802947998,28392,chrome.exe,0.00,17,38.316,0.24,0,0,0.000,0.000
0.4555823802947998,28336,conhost.exe,0.00,5,15.180,0.09,0,0,0.000,0.000
0.4555823802947998,27668,chrome.exe,0.00,18,85.746,0.53,0,0,0.000,0.000
0.4555823802947998,27232,chrome.exe,0.00,12,27.973,0.17,0,0,0.000,0.000
3.4031715393066406,23308,chrome.exe,20.76,24,367.309,2.27,0,0,0.000,0.000
3.4031715393066406,16752,OneDrive.exe,11.55,28,220.883,1.36,0,424,0.000,230.714
3.4031715393066406,15816,chrome.exe,10.99,28,331.703,2.05,0,0,0.000,0.000
3.4031715393066406,22444,python.exe,10.89,17,71.707,0.44,8,0,0.000,0.000
3.4031715393066406,5632,MsMpEng.exe,7.81,52,241.918,1.49,39,16,76.204,32.188
3.4031715393066406,13000,chrome.exe,2.71,27,262.352,1.62,0,0,0.000,0.000
3.4031715393066406,16172,chrome.exe,1.70,20,58.516,0.36,4826,6728,1486.592,2576.356
3.4031715393066406,1412,dwm.exe,1.55,21,105.449,0.65,218,0,2.555,0.000
3.4031715393066406,4,System,1.43,236,3.793,0.02,0,18,0.000,137.000
3.4031715393066406,19864,WmiPrvSE.exe,0.97,12,11.816,0.07,0,0,0.000,0.000
3.4031715393066406,10508,chrome.exe,0.70,18,64.379,0.4,0,0,0.000,0.000
3.4031715393066406,19776,chrome.exe,0.57,22,77.953,0.48,0,0,0.000,0.000
3.4031715393066406,16188,chrome.exe,0.56,9,13.555,0.08,0,0,0.000,0.000
3.4031715393066406,7272,pycharm64.exe,0.50,94,2360.484,14.59,143,54,12.727,11888.565
3.4031715393066406,19936,chrome.exe,0.39,17,62.008,0.38,0,0,0.000,0.000
3.4031715393066406,17904,chrome.exe,0.38,19,103.691,0.64,0,0,0.000,0.000
3.4031715393066406,13920,MfeAVSvc.exe,0.36,64,37.816,0.23,0,53,0.000,7.742
3.4031715393066406,5308,SmartNote.Service.exe,0.30,5,6.957,0.04,0,0,0.000,0.000
3.4031715393066406,1528,lsass.exe,0.24,9,14.746,0.09,0,0,0.000,0.000
3.4031715393066406,26068,chrome.exe,0.20,28,222.465,1.37,1,1,0.375,1.258
6.627776861190796,16752,OneDrive.exe,13.22,28,220.879,1.36,2,398,1024.049,294.003
6.627776861190796,22444,python.exe,10.75,17,71.812,0.44,8,0,0.000,0.000
6.627776861190796,5632,MsMpEng.exe,6.45,53,241.930,1.49,52,16,101.605,32.188
6.627776861190796,23308,chrome.exe,1.25,24,379.324,2.34,4133,5228,1021.042,1173.789
6.627776861190796,13920,MfeAVSvc.exe,1.18,64,37.824,0.23,0,53,0.000,7.746
6.627776861190796,4,System,1.01,236,3.793,0.02,0,16,0.000,124.000
6.627776861190796,15816,chrome.exe,0.47,29,331.680,2.05,8201,12497,3409.039,2996.454
6.627776861190796,26068,chrome.exe,0.26,28,222.453,1.37,0,0,0.000,0.000
6.627776861190796,24800,LenovoVantage-(LenovoBoostSystemAddin).exe,0.25,19,67.477,0.42,0,0,0.000,0.000
6.627776861190796,16172,chrome.exe,0.24,20,58.348,0.36,2856,4050,742.993,1820.550
6.627776861190796,13000,chrome.exe,0.23,27,262.480,1.62,411,66,77.789,9.188
6.627776861190796,11988,chrome.exe,0.23,27,261.535,1.62,0,0,0.000,0.000
6.627776861190796,11180,svchost.exe,0.23,10,8.211,0.05,0,0,0.000,0.000
6.627776861190796,8596,conhost.exe,0.23,4,10.871,0.07,0,0,0.000,0.000
6.627776861190796,5616,svchost.exe,0.20,24,17.824,0.11,0,0,0.000,0.000
6.627776861190796,3528,svchost.exe,0.16,3,4.066,0.03,0,0,0.000,0.000
6.627776861190796,1528,lsass.exe,0.14,9,14.746,0.09,0,0,0.000,0.000
6.627776861190796,1412,dwm.exe,0.12,21,105.246,0.65,0,0,0.000,0.000
6.627776861190796,28460,chrome.exe,0.00,17,43.527,0.27,0,0,0.000,0.000
6.627776861190796,28392,chrome.exe,0.00,17,38.316,0.24,0,0,0.000,0.000
9.52222466468811,16752,OneDrive.exe,12.03,28,223.320,1.38,0,390,0.000,221.042
9.52222466468811,22444,python.exe,10.74,17,71.934,0.44,6,0,0.000,0.000
9.52222466468811,5632,MsMpEng.exe,6.15,55,242.953,1.5,49,12,92.022,24.141
9.52222466468811,4,System,0.96,236,3.793,0.02,0,17,0.000,123.000
9.52222466468811,13920,MfeAVSvc.exe,0.71,64,37.824,0.23,0,30,0.000,4.398
9.52222466468811,10520,LenovoSmartNote.exe,0.44,11,41.086,0.25,0,0,0.000,0.000
9.52222466468811,5308,SmartNote.Service.exe,0.38,5,6.957,0.04,0,0,0.000,0.000
9.52222466468811,2972,svchost.exe,0.30,12,7.277,0.04,0,0,0.000,0.000
9.52222466468811,19864,WmiPrvSE.exe,0.25,10,11.789,0.07,0,0,0.000,0.000
9.52222466468811,8596,conhost.exe,0.21,4,10.871,0.07,0,0,0.000,0.000
9.52222466468811,7272,pycharm64.exe,0.21,94,2360.488,14.59,125,15,9.677,1414.035
9.52222466468811,5616,svchost.exe,0.20,24,17.707,0.11,0,0,0.000,0.000
9.52222466468811,3476,svchost.exe,0.15,12,15.410,0.1,0,0,0.000,0.000
9.52222466468811,2380,svchost.exe,0.15,7,6.332,0.04,0,0,0.000,0.000
9.52222466468811,1884,svchost.exe,0.14,12,14.824,0.09,0,0,0.000,0.000
9.52222466468811,1828,WUDFHost.exe,0.14,16,12.258,0.08,0,0,0.000,0.000
9.52222466468811,28460,chrome.exe,0.00,17,43.527,0.27,0,0,0.000,0.000
9.52222466468811,28392,chrome.exe,0.00,17,38.316,0.24,0,0,0.000,0.000
9.52222466468811,28336,conhost.exe,0.00,3,15.141,0.09,0,0,0.000,0.000
9.52222466468811,27668,chrome.exe,0.00,18,85.754,0.53,10,0,6.406,0.000
12.262654781341553,16752,OneDrive.exe,12.26,28,224.469,1.39,0,353,0.000,189.319
12.262654781341553,22444,python.exe,10.74,17,72.102,0.45,8,0,0.000,0.000
12.262654781341553,5632,MsMpEng.exe,4.69,53,243.250,1.5,42,22,85.787,44.258
12.262654781341553,13920,MfeAVSvc.exe,0.72,64,37.824,0.23,0,53,0.000,7.738
12.262654781341553,19864,WmiPrvSE.exe,0.50,10,11.836,0.07,0,0,0.000,0.000
12.262654781341553,5616,svchost.exe,0.39,24,17.664,0.11,0,0,0.000,0.000
12.262654781341553,16172,chrome.exe,0.24,15,58.543,0.36,177,278,26.695,777.482
12.262654781341553,11692,fsnotifier.exe,0.23,2,2.512,0.02,0,333,0.000,27.352
12.262654781341553,5040,LenovoVantageService.exe,0.19,19,57.301,0.35,0,0,0.000,0.000
12.262654781341553,3476,svchost.exe,0.16,12,15.418,0.1,0,52,0.000,3328.000
12.262654781341553,1336,csrss.exe,0.14,12,3.637,0.02,0,0,0.000,0.000
12.262654781341553,28460,chrome.exe,0.00,17,43.527,0.27,0,0,0.000,0.000
12.262654781341553,28392,chrome.exe,0.00,17,38.316,0.24,0,0,0.000,0.000
12.262654781341553,28336,conhost.exe,0.00,3,15.141,0.09,0,0,0.000,0.000
12.262654781341553,27668,chrome.exe,0.00,18,85.754,0.53,0,0,0.000,0.000
12.262654781341553,27232,chrome.exe,0.00,12,27.973,0.17,0,0,0.000,0.000
12.262654781341553,26992,chrome.exe,0.00,17,71.195,0.44,0,0,0.000,0.000
12.262654781341553,26152,SystemSettingsBroker.exe,0.00,24,31.762,0.2,0,0,0.000,0.000
12.262654781341553,26068,chrome.exe,0.00,28,222.309,1.37,0,1,0.000,1.258
12.262654781341553,25920,powershell.exe,0.00,9,109.969,0.68,0,0,0.000,0.000
15.045854806900024,16752,OneDrive.exe,12.26,28,224.672,1.39,0,326,0.000,186.760
15.045854806900024,22444,python.exe,10.74,17,72.312,0.45,6,0,0.000,0.000
15.045854806900024,5632,MsMpEng.exe,6.65,53,243.695,1.51,52,12,101.605,24.141
15.045854806900024,23308,chrome.exe,6.25,24,351.629,2.17,514,627,174.455,101.731
15.045854806900024,19864,WmiPrvSE.exe,0.72,10,11.887,0.07,0,0,0.000,0.000
15.045854806900024,15816,chrome.exe,0.71,29,331.727,2.05,993,1810,426.930,265.397
15.045854806900024,4,System,0.70,236,3.793,0.02,0,27,0.000,208.000
15.045854806900024,3932,SgrmBroker.exe,0.33,7,8.426,0.05,0,0,0.000,0.000
15.045854806900024,1884,svchost.exe,0.30,12,14.859,0.09,0,0,0.000,0.000
15.045854806900024,1520,MMSSHOST.exe,0.29,89,40.191,0.25,0,0,0.000,0.000
15.045854806900024,26068,chrome.exe,0.25,28,222.445,1.37,75,28,12.359,4.047
15.045854806900024,23504,chrome.exe,0.25,17,57.719,0.36,0,0,0.000,0.000
15.045854806900024,13920,MfeAVSvc.exe,0.24,64,37.824,0.23,0,53,0.000,7.746
15.045854806900024,13092,chrome.exe,0.23,17,47.020,0.29,0,0,0.000,0.000
15.045854806900024,8596,conhost.exe,0.21,4,10.871,0.07,0,0,0.000,0.000
15.045854806900024,5616,svchost.exe,0.20,23,17.695,0.11,0,0,0.000,0.000
15.045854806900024,3476,svchost.exe,0.16,12,15.418,0.1,0,47,0.000,2884.875
15.045854806900024,28460,chrome.exe,0.00,17,43.527,0.27,0,0,0.000,0.000
15.045854806900024,28392,chrome.exe,0.00,17,38.316,0.24,0,0,0.000,0.000
15.045854806900024,28336,conhost.exe,0.00,3,15.141,0.09,0,0,0.000,0.000
17.73353123664856,16752,OneDrive.exe,11.76,28,224.672,1.39,0,412,0.000,235.562
17.73353123664856,22444,python.exe,10.45,17,72.574,0.45,8,0,0.000,0.000
17.73353123664856,5632,MsMpEng.exe,6.45,53,242.098,1.5,39,16,76.204,32.188
17.73353123664856,24396,WmiPrvSE.exe,0.53,8,16.484,0.1,0,0,0.000,0.000
17.73353123664856,5616,svchost.exe,0.40,24,17.660,0.11,0,0,0.000,0.000
17.73353123664856,3476,svchost.exe,0.33,12,15.418,0.1,0,45,0.000,2880.000
17.73353123664856,26068,chrome.exe,0.25,28,222.602,1.38,0,1,0.000,1.258
17.73353123664856,19864,WmiPrvSE.exe,0.25,10,11.898,0.07,0,0,0.000,0.000
17.73353123664856,15816,chrome.exe,0.25,29,331.734,2.05,53,50,28.469,7.698
17.73353123664856,13920,MfeAVSvc.exe,0.24,64,37.832,0.23,0,53,0.000,7.742
17.73353123664856,11916,LenovoVantage-(LenovoBoostAddin).exe,0.23,15,71.055,0.44,0,0,0.000,0.000
17.73353123664856,10520,LenovoSmartNote.exe,0.23,11,41.086,0.25,0,0,0.000,0.000
17.73353123664856,8596,conhost.exe,0.21,4,10.871,0.07,0,0,0.000,0.000
17.73353123664856,7272,pycharm64.exe,0.20,94,2360.488,14.59,153,0,15.333,0.000
17.73353123664856,5608,influxd.exe,0.20,18,43.004,0.27,0,0,0.000,0.000
17.73353123664856,5308,SmartNote.Service.exe,0.20,5,6.957,0.04,0,0,0.000,0.000
17.73353123664856,1884,svchost.exe,0.15,12,14.871,0.09,0,0,0.000,0.000
17.73353123664856,4,System,0.14,236,3.793,0.02,0,16,0.000,129.000
17.73353123664856,28460,chrome.exe,0.00,17,43.527,0.27,0,0,0.000,0.000
17.73353123664856,28392,chrome.exe,0.00,17,38.316,0.24,0,0,0.000,0.000
20.44880247116089,16752,OneDrive.exe,11.78,28,224.672,1.39,0,318,0.000,178.113
20.44880247116089,22444,python.exe,9.96,17,72.961,0.45,6,0,0.000,0.000
20.44880247116089,5632,MsMpEng.exe,6.05,53,242.871,1.5,39,30,76.204,60.352
20.44880247116089,4,System,2.44,236,3.793,0.02,0,17,0.000,128.000
20.44880247116089,13920,MfeAVSvc.exe,0.47,64,39.488,0.24,0,30,0.000,4.398
20.44880247116089,11916,LenovoVantage-(LenovoBoostAddin).exe,0.46,15,71.055,0.44,0,0,0.000,0.000
20.44880247116089,19864,WmiPrvSE.exe,0.25,10,13.250,0.08,0,0,0.000,0.000
20.44880247116089,16172,chrome.exe,0.25,15,58.250,0.36,210,285,35.742,397.965
20.44880247116089,15816,chrome.exe,0.25,29,331.734,2.05,67,69,33.703,11.898
20.44880247116089,10520,LenovoSmartNote.exe,0.23,11,41.086,0.25,0,0,0.000,0.000
20.44880247116089,8596,conhost.exe,0.21,4,10.871,0.07,0,0,0.000,0.000
20.44880247116089,5040,LenovoVantageService.exe,0.19,19,57.301,0.35,0,0,0.000,0.000
20.44880247116089,3528,svchost.exe,0.16,3,4.066,0.03,0,0,0.000,0.000
20.44880247116089,28460,chrome.exe,0.00,17,43.527,0.27,0,0,0.000,0.000
20.44880247116089,28392,chrome.exe,0.00,17,38.316,0.24,0,0,0.000,0.000
20.44880247116089,28336,conhost.exe,0.00,3,15.141,0.09,0,0,0.000,0.000
20.44880247116089,27668,chrome.exe,0.00,18,85.754,0.53,50,28,8.859,4.047
20.44880247116089,27232,chrome.exe,0.00,12,27.973,0.17,0,0,0.000,0.000
20.44880247116089,26992,chrome.exe,0.00,17,71.195,0.44,0,0,0.000,0.000
20.44880247116089,26152,SystemSettingsBroker.exe,0.00,24,31.762,0.2,0,0,0.000,0.000
23.143344163894653,16752,OneDrive.exe,11.80,28,224.691,1.39,2,386,1024.421,295.824
23.143344163894653,22444,python.exe,10.84,17,73.168,0.45,8,0,0.000,0.000
23.143344163894653,5632,MsMpEng.exe,5.85,53,243.445,1.5,52,22,101.605,44.258
23.143344163894653,13000,chrome.exe,3.19,30,260.879,1.61,756,938,776.995,322.211
23.143344163894653,15816,chrome.exe,1.85,29,331.465,2.05,1833,2552,881.518,1143.415
23.143344163894653,13920,MfeAVSvc.exe,0.70,64,37.832,0.23,0,53,0.000,7.738
23.143344163894653,19864,WmiPrvSE.exe,0.46,10,11.852,0.07,0,0,0.000,0.000
23.143344163894653,19776,chrome.exe,0.46,25,78.359,0.48,718,661,406.156,222.617
23.143344163894653,4,System,0.41,236,3.793,0.02,0,13,0.000,125.000
23.143344163894653,5616,svchost.exe,0.40,24,17.598,0.11,0,0,0.000,0.000
23.143344163894653,4904,Lenovo.Modern.ImController.exe,0.38,50,82.434,0.51,0,0,0.000,0.000
23.143344163894653,3476,svchost.exe,0.34,12,15.418,0.1,0,108,0.000,6912.000
23.143344163894653,1528,lsass.exe,0.30,9,14.746,0.09,0,0,0.000,0.000
23.143344163894653,26068,chrome.exe,0.24,28,223.289,1.38,0,0,0.000,0.000
23.143344163894653,20876,chrome.exe,0.24,17,74.688,0.46,0,0,0.000,0.000
23.143344163894653,11988,chrome.exe,0.23,26,263.148,1.63,211,241,39.734,125.469
23.143344163894653,7272,pycharm64.exe,0.21,93,2360.426,14.59,131,0,10.294,0.000
23.143344163894653,5640,TracSrvWrapper.exe,0.20,9,9.520,0.06,0,0,0.000,0.000
23.143344163894653,3528,svchost.exe,0.17,3,4.066,0.03,0,0,0.000,0.000
23.143344163894653,28460,chrome.exe,0.00,17,43.527,0.27,0,0,0.000,0.000
25.91513156890869,16752,OneDrive.exe,12.01,28,224.691,1.39,0,341,0.000,194.010
25.91513156890869,22444,python.exe,10.74,17,73.184,0.45,6,0,0.000,0.000
25.91513156890869,5632,MsMpEng.exe,5.94,52,245.574,1.52,52,12,101.605,24.141
25.91513156890869,5616,svchost.exe,0.60,24,17.656,0.11,0,0,0.000,0.000
25.91513156890869,13920,MfeAVSvc.exe,0.47,64,37.832,0.23,0,53,0.000,7.746
25.91513156890869,9076,svchost.exe,0.45,8,11.898,0.07,0,0,0.000,0.000
25.91513156890869,5308,SmartNote.Service.exe,0.39,4,6.941,0.04,0,0,0.000,0.000
25.91513156890869,4688,svchost.exe,0.35,7,9.879,0.06,0,0,0.000,0.000
25.91513156890869,1528,lsass.exe,0.29,9,14.738,0.09,0,0,0.000,0.000
25.91513156890869,4,System,0.29,236,3.793,0.02,0,20,0.000,173.000
25.91513156890869,26068,chrome.exe,0.25,28,223.238,1.38,0,1,0.000,1.258
25.91513156890869,24800,LenovoVantage-(LenovoBoostSystemAddin).exe,0.25,19,67.504,0.42,0,0,0.000,0.000
25.91513156890869,19864,WmiPrvSE.exe,0.25,10,11.902,0.07,0,0,0.000,0.000
25.91513156890869,16172,chrome.exe,0.25,16,58.055,0.36,1496,2290,524.427,1416.284
25.91513156890869,15816,chrome.exe,0.25,29,331.465,2.05,224,223,94.875,35.352
25.91513156890869,9180,StartMenuExperienceHost.exe,0.23,11,48.195,0.3,0,0,0.000,0.000
25.91513156890869,8596,conhost.exe,0.23,4,10.871,0.07,0,0,0.000,0.000
25.91513156890869,8208,svchost.exe,0.23,11,21.066,0.13,0,0,0.000,0.000
25.91513156890869,5640,TracSrvWrapper.exe,0.20,9,9.512,0.06,0,0,0.000,0.000
25.91513156890869,3476,svchost.exe,0.16,12,15.418,0.1,0,44,0.000,2752.125
28.612554788589478,16752,OneDrive.exe,12.24,28,224.691,1.39,0,326,0.000,194.443
28.612554788589478,22444,python.exe,10.34,17,73.262,0.45,8,0,0.000,0.000
28.612554788589478,5632,MsMpEng.exe,6.25,52,244.590,1.51,39,16,76.204,32.188
28.612554788589478,13920,MfeAVSvc.exe,0.78,64,38.523,0.24,0,38,0.000,5.547
28.612554788589478,1520,MMSSHOST.exe,0.59,87,40.148,0.25,0,0,0.000,0.000
28.612554788589478,4,System,0.42,236,3.793,0.02,0,13,0.000,102.000
28.612554788589478,3476,svchost.exe,0.34,12,15.418,0.1,0,53,0.000,3392.000
28.612554788589478,2972,svchost.exe,0.34,12,7.234,0.04,0,0,0.000,0.000
28.612554788589478,19864,WmiPrvSE.exe,0.26,10,11.840,0.07,0,0,0.000,0.000
28.612554788589478,8596,conhost.exe,0.24,2,10.836,0.07,0,0,0.000,0.000
28.612554788589478,5616,svchost.exe,0.21,24,17.734,0.11,0,0,0.000,0.000
28.612554788589478,4536,mfemms.exe,0.19,28,9.750,0.06,0,0,0.000,0.000
28.612554788589478,28460,chrome.exe,0.00,17,43.527,0.27,0,0,0.000,0.000
28.612554788589478,28392,chrome.exe,0.00,17,38.316,0.24,0,0,0.000,0.000
28.612554788589478,28336,conhost.exe,0.00,3,15.141,0.09,0,0,0.000,0.000
28.612554788589478,27668,chrome.exe,0.00,18,85.754,0.53,0,0,0.000,0.000
28.612554788589478,27232,chrome.exe,0.00,12,27.973,0.17,0,0,0.000,0.000
28.612554788589478,26992,chrome.exe,0.00,17,71.195,0.44,0,0,0.000,0.000
28.612554788589478,26152,SystemSettingsBroker.exe,0.00,24,31.762,0.2,0,0,0.000,0.000
28.612554788589478,26068,chrome.exe,0.00,24,223.238,1.38,0,0,0.000,0.000
31.281628847122192,16752,OneDrive.exe,12.01,28,224.691,1.39,0,369,0.000,210.354
31.281628847122192,22444,python.exe,10.50,17,73.273,0.45,6,0,0.000,0.000
31.281628847122192,5632,MsMpEng.exe,6.75,52,244.457,1.51,39,12,76.204,24.141
31.281628847122192,13920,MfeAVSvc.exe,0.96,64,37.840,0.23,0,53,0.000,7.703
31.281628847122192,4,System,0.42,236,3.793,0.02,0,17,0.000,199.000
31.281628847122192,5616,svchost.exe,0.39,24,17.625,0.11,0,0,0.000,0.000
31.281628847122192,3932,SgrmBroker.exe,0.35,9,8.680,0.05,0,0,0.000,0.000
31.281628847122192,1884,svchost.exe,0.31,12,14.887,0.09,0,0,0.000,0.000
31.281628847122192,26068,chrome.exe,0.25,24,222.859,1.38,0,0,0.000,0.000
31.281628847122192,19864,WmiPrvSE.exe,0.25,11,11.801,0.07,0,0,0.000,0.000
31.281628847122192,16172,chrome.exe,0.24,16,58.559,0.36,122,165,16.562,483.743
31.281628847122192,5640,TracSrvWrapper.exe,0.20,9,9.516,0.06,0,4,0.000,0.165
31.281628847122192,3528,svchost.exe,0.17,4,4.082,0.03,0,0,0.000,0.000
31.281628847122192,1528,lsass.exe,0.15,9,14.738,0.09,0,0,0.000,0.000
31.281628847122192,1412,dwm.exe,0.15,15,105.172,0.65,0,0,0.000,0.000
31.281628847122192,28460,chrome.exe,0.00,17,43.527,0.27,0,0,0.000,0.000
31.281628847122192,28392,chrome.exe,0.00,17,38.316,0.24,0,0,0.000,0.000
31.281628847122192,28336,conhost.exe,0.00,3,15.141,0.09,0,0,0.000,0.000
31.281628847122192,27668,chrome.exe,0.00,18,85.754,0.53,0,0,0.000,0.000
31.281628847122192,27232,chrome.exe,0.00,12,27.973,0.17,0,0,0.000,0.000
33.9714298248291,16752,OneDrive.exe,12.50,28,224.703,1.39,5,370,1024.565,282.035
33.9714298248291,22444,python.exe,10.54,17,73.273,0.45,8,0,0.000,0.000
33.9714298248291,5632,MsMpEng.exe,5.33,52,244.602,1.51,52,22,101.605,44.258
33.9714298248291,24800,LenovoVantage-(LenovoBoostSystemAddin).exe,4.25,24,69.543,0.43,0,0,0.000,0.000
33.9714298248291,11916,LenovoVantage-(LenovoBoostAddin).exe,1.59,23,75.773,0.47,457,0,1805.540,0.000
33.9714298248291,13920,MfeAVSvc.exe,0.94,64,37.848,0.23,0,53,0.000,7.699
33.9714298248291,19864,WmiPrvSE.exe,0.47,11,11.910,0.07,0,0,0.000,0.000
33.9714298248291,7272,pycharm64.exe,0.42,92,2360.422,14.59,213,0,15.920,0.000
33.9714298248291,4688,svchost.exe,0.35,7,9.879,0.06,0,0,0.000,0.000
33.9714298248291,4,System,0.26,235,3.793,0.02,0,17,0.000,123.000
33.9714298248291,26068,chrome.exe,0.25,24,223.727,1.38,0,1,0.000,1.258
33.9714298248291,5616,svchost.exe,0.20,24,17.641,0.11,0,0,0.000,0.000
