Time(sec),Percentage
2.877885341644287,49.1
6.101054430007935,69.3
8.997645616531372,64.5
11.748177766799927,42.5
14.528858423233032,43.6
17.21517825126648,50.3
19.92500114440918,42.4
22.62116551399231,44.4
25.39537000656128,51.0
28.0870258808136,43.9
30.753384351730347,42.7
33.447978496551514,42.4
36.32041954994202,58.0
39.26668095588684,74.4
41.97467756271362,48.6
44.61119508743286,43.8
47.257763147354126,43.3
50.022427558898926,43.1
52.643677711486816,40.7
55.369917154312134,42.9
58.03569293022156,44.0
