Time(sec),Used(GB),Percentage
2.877885341644287,10.880,68.8
6.106943845748901,10.918,69.1
8.997645616531372,10.964,69.4
11.748177766799927,10.930,69.2
14.528858423233032,10.973,69.4
17.21517825126648,10.897,68.9
19.92500114440918,10.940,69.2
22.62116551399231,10.945,69.3
25.39537000656128,10.948,69.3
28.090346574783325,10.895,68.9
30.753384351730347,10.911,69.0
33.447978496551514,10.942,69.2
36.32041954994202,10.928,69.1
39.27467465400696,10.955,69.3
41.97467756271362,10.936,69.2
44.61119508743286,10.974,69.4
47.257763147354126,10.940,69.2
50.022427558898926,10.966,69.4
52.643677711486816,10.943,69.2
55.369917154312134,10.987,69.5
58.03569293022156,10.943,69.2
