Time(sec),REMAINING BATTERY(%),REMAINING CAPACITY(mWh),Voltage(mV)
0.50152587890625,91.0,65800.0,16261.0
3.1953282356262207,91.0,65800.0,16261.0
6.614575147628784,91.0,65800.0,16261.0
9.743056535720825,91.0,65800.0,16261.0
12.41625428199768,91.0,65800.0,16261.0
14.938732862472534,91.0,65800.0,16261.0
17.63236403465271,91.0,65800.0,16261.0
20.514657735824585,91.0,65800.0,16261.0
23.074167490005493,91.0,65800.0,16261.0
25.946855068206787,91.0,65610.0,16547.0
28.691840410232544,91.0,65610.0,16547.0
31.267686128616333,91.0,65610.0,16547.0
35.25510120391846,91.0,65610.0,16547.0
39.21700954437256,91.0,65610.0,16547.0
43.33502650260925,91.0,65610.0,16547.0
47.506245374679565,90.0,65480.0,16459.0
52.37097692489624,90.0,65480.0,16459.0
56.668853998184204,90.0,65480.0,16459.0
60.62357425689697,90.0,65480.0,16459.0
63.15456962585449,90.0,65480.0,16459.0
65.68977093696594,90.0,65480.0,16459.0
68.906818151474,90.0,65480.0,16459.0
71.45378804206848,90.0,65480.0,16459.0
73.97708678245544,90.0,65480.0,16459.0
76.714688539505,90.0,65270.0,16402.0
79.35610771179199,90.0,65270.0,16402.0
81.9928343296051,90.0,65270.0,16402.0
84.49730801582336,90.0,65270.0,16402.0
