Time(sec),READ(#),WRITE(#),READ(KB),WRITE(KB)
2.663409948348999,0,122,0.000,1296.500
6.085217714309692,17,68,464.000,2049.000
9.224015951156616,17,33,480.000,3269.000
11.888007164001465,124,142,7748.500,2599.500
14.40982437133789,251,41,16064.000,5932.000
17.114025831222534,0,74,0.000,2156.000
19.99488592147827,2,94,48.000,1673.000
22.552672624588013,1,1631,32.000,11045.000
25.428885459899902,10,33,50.000,755.000
28.177967071533203,8,76,229.500,967.000
30.725040435791016,1,26,32.000,693.000
34.72387194633484,0,86,0.000,2092.500
38.690237283706665,2,64,48.000,1250.500
42.81102395057678,275,96,5234.000,2032.000
46.98621678352356,6,99,128.000,1156.000
51.84620547294617,76,88,1028.000,1105.000
56.149346351623535,1,72,28.000,1279.500
60.10069799423218,9,93,236.000,1770.000
62.63544702529907,1,16,32.000,1880.000
65.17956352233887,374,72,23768.500,5504.000
68.38154149055481,16,28,484.000,2135.000
70.93712019920349,0,8,0.000,2088.000
73.46070384979248,0,97,0.000,1145.000
76.19326949119568,11,113,82.000,1372.500
78.83783459663391,3,35,288.000,2180.000
81.48428559303284,1,54,32.000,504.000
83.98446869850159,1,98,16.000,1167.500
86.2445056438446,0,16,0.000,217.000
