Time(sec),PID,PNAME,CPU(%),NUM THREADS,MEMORY(MB),MEMORY(%),READ_IO(#),WRITE_IO(#),READ_IO(KB),WRITE_IO(KB)
0.5047564506530762,16752,OneDrive.exe,11.46,28,236.426,1.46,0,0,0.000,0.000
0.5047564506530762,5632,MsMpEng.exe,10.56,52,237.613,1.47,0,0,0.000,0.000
0.5047564506530762,22708,python.exe,10.32,17,71.410,0.44,0,0,0.000,0.000
0.5047564506530762,4,System,1.10,238,3.777,0.02,0,0,0.000,0.000
0.5047564506530762,1412,dwm.exe,0.71,16,87.836,0.54,0,0,0.000,0.000
0.5047564506530762,15816,chrome.exe,0.53,29,337.469,2.09,0,0,0.000,0.000
0.5047564506530762,3412,svchost.exe,0.33,16,15.582,0.1,0,0,0.000,0.000
0.5047564506530762,2928,svchost.exe,0.33,7,5.828,0.04,0,0,0.000,0.000
0.5047564506530762,13920,MfeAVSvc.exe,0.25,64,36.777,0.23,0,0,0.000,0.000
0.5047564506530762,7040,msedge.exe,0.23,33,87.746,0.54,0,0,0.000,0.000
0.5047564506530762,5040,LenovoVantageService.exe,0.20,20,56.590,0.35,0,0,0.000,0.000
0.5047564506530762,28564,conhost.exe,0.00,4,10.852,0.07,0,0,0.000,0.000
0.5047564506530762,28460,chrome.exe,0.00,17,43.828,0.27,0,0,0.000,0.000
0.5047564506530762,28392,chrome.exe,0.00,17,38.406,0.24,0,0,0.000,0.000
0.5047564506530762,28336,conhost.exe,0.00,3,15.125,0.09,0,0,0.000,0.000
0.5047564506530762,27668,chrome.exe,0.00,18,85.879,0.53,0,0,0.000,0.000
0.5047564506530762,27480,powershell.exe,0.00,23,94.246,0.58,0,0,0.000,0.000
0.5047564506530762,27232,chrome.exe,0.00,12,32.719,0.2,0,0,0.000,0.000
0.5047564506530762,26992,chrome.exe,0.00,17,71.824,0.44,0,0,0.000,0.000
0.5047564506530762,26152,SystemSettingsBroker.exe,0.00,24,31.887,0.2,0,0,0.000,0.000
3.197838544845581,5632,MsMpEng.exe,13.26,53,254.293,1.57,1139,0,22952.611,0.000
