Time(sec),Percentage
2.663409948348999,47.7
6.04243540763855,61.2
9.224015951156616,89.3
11.888007164001465,58.4
14.40982437133789,40.8
17.114025831222534,54.9
19.988484859466553,59.2
22.552672624588013,50.4
25.428885459899902,44.3
28.177967071533203,53.7
30.725040435791016,40.9
34.72387194633484,42.1
38.690237283706665,43.0
42.81102395057678,51.1
46.969587326049805,45.7
51.83908534049988,53.0
56.141331911087036,47.5
60.10069799423218,45.6
62.63544702529907,37.6
65.17157006263733,39.3
68.38154149055481,80.0
70.92899417877197,37.3
73.46070384979248,39.3
76.19326949119568,41.6
78.82984256744385,42.2
81.48428559303284,38.0
83.98446869850159,34.7
86.2445056438446,23.8
