Time(sec),Used(GB),Percentage
2.663409948348999,10.984,69.5
6.085217714309692,11.023,69.7
9.224015951156616,11.066,70.0
11.888007164001465,11.072,70.1
14.40982437133789,11.074,70.1
17.114025831222534,11.050,69.9
19.991780996322632,11.014,69.7
22.552672624588013,10.991,69.5
25.428885459899902,11.000,69.6
28.177967071533203,11.082,70.1
30.725040435791016,11.080,70.1
34.72387194633484,11.062,70.0
38.690237283706665,11.068,70.0
42.81102395057678,11.090,70.2
46.969587326049805,11.093,70.2
51.84266948699951,11.159,70.6
56.149346351623535,11.158,70.6
60.10069799423218,11.129,70.4
62.63544702529907,11.107,70.3
65.17956352233887,11.120,70.4
68.38154149055481,11.121,70.4
70.92899417877197,11.143,70.5
73.46070384979248,11.113,70.3
76.19326949119568,11.085,70.1
78.82984256744385,11.074,70.1
81.48428559303284,11.056,70.0
83.98446869850159,11.059,70.0
86.2445056438446,11.054,69.9
