Time(sec),READ(#),WRITE(#),READ(KB),WRITE(KB)
4.72944188117981,2,55,32.000,440.000
7.433944225311279,2,13,64.000,1148.500
10.40233039855957,3,30,48.000,2879.000
13.230072975158691,8,16,160.000,656.000
17.36802887916565,1,14,16.000,2580.000
22.312241077423096,0,53,0.000,2863.000
27.253995895385742,372,26,23744.500,4098.500
32.15712809562683,0,16,0.000,232.000
36.72965598106384,1,73,32.000,712.000
41.96849012374878,10,9,50.000,157.000
46.84369969367981,16,122,272.000,1030.000
51.778318643569946,1,15,16.000,497.000
