Time(sec),PID,PNAME,CPU(%),NUM THREADS,MEMORY(MB),MEMORY(%),READ_IO(#),WRITE_IO(#),READ_IO(KB),WRITE_IO(KB)
2.026854991912842,5632,MsMpEng.exe,11.89,59,257.262,1.59,0,0,0.000,0.000
2.026854991912842,9528,python.exe,10.96,17,75.500,0.47,0,0,0.000,0.000
2.026854991912842,4,System,1.43,238,22.441,0.14,0,0,0.000,0.000
2.026854991912842,13920,MfeAVSvc.exe,0.49,64,39.312,0.24,0,0,0.000,0.000
2.026854991912842,18776,Taskmgr.exe,0.25,22,69.848,0.43,0,0,0.000,0.000
2.026854991912842,13748,mcapexe.exe,0.24,8,3.098,0.02,0,0,0.000,0.000
2.026854991912842,5640,TracSrvWrapper.exe,0.20,9,9.148,0.06,0,0,0.000,0.000
2.026854991912842,5616,svchost.exe,0.20,24,19.598,0.12,0,0,0.000,0.000
2.026854991912842,5308,SmartNote.Service.exe,0.20,5,7.238,0.04,0,0,0.000,0.000
2.026854991912842,1928,svchost.exe,0.11,6,6.285,0.04,0,0,0.000,0.000
2.026854991912842,1528,lsass.exe,0.10,10,16.441,0.1,0,0,0.000,0.000
2.026854991912842,1412,dwm.exe,0.10,22,104.312,0.64,0,0,0.000,0.000
2.026854991912842,33776,chrome.exe,0.00,17,61.598,0.38,0,0,0.000,0.000
2.026854991912842,33268,LockApp.exe,0.00,14,54.316,0.34,0,0,0.000,0.000
2.026854991912842,32824,msedgewebview2.exe,0.00,7,18.363,0.11,0,0,0.000,0.000
2.026854991912842,32168,svchost.exe,0.00,3,5.379,0.03,0,0,0.000,0.000
2.026854991912842,32152,UserOOBEBroker.exe,0.00,1,8.434,0.05,0,0,0.000,0.000
2.026854991912842,32120,chrome.exe,0.00,18,85.820,0.53,0,0,0.000,0.000
2.026854991912842,32004,msedgewebview2.exe,0.00,10,32.730,0.2,0,0,0.000,0.000
2.026854991912842,31864,chrome.exe,0.00,18,106.934,0.66,0,0,0.000,0.000
5.2569780349731445,5632,MsMpEng.exe,14.49,59,264.906,1.64,457,0,6305.291,0.000
5.2569780349731445,9528,python.exe,9.86,17,75.828,0.47,0,0,0.000,0.000
5.2569780349731445,4,System,0.71,238,22.441,0.14,0,7,0.000,43.000
5.2569780349731445,16164,chrome.exe,0.46,17,142.418,0.88,0,0,0.000,0.000
5.2569780349731445,15816,chrome.exe,0.24,27,314.305,1.94,0,0,0.000,0.000
5.2569780349731445,7272,pycharm64.exe,0.20,134,1946.996,12.03,0,0,0.000,0.000
5.2569780349731445,5640,TracSrvWrapper.exe,0.20,9,9.148,0.06,0,0,0.000,0.000
5.2569780349731445,5308,SmartNote.Service.exe,0.19,5,7.238,0.04,0,0,0.000,0.000
5.2569780349731445,33776,chrome.exe,0.00,17,61.598,0.38,0,0,0.000,0.000
5.2569780349731445,33268,LockApp.exe,0.00,14,54.316,0.34,0,0,0.000,0.000
5.2569780349731445,32824,msedgewebview2.exe,0.00,7,18.363,0.11,0,0,0.000,0.000
5.2569780349731445,32168,svchost.exe,0.00,3,5.379,0.03,0,0,0.000,0.000
5.2569780349731445,32152,UserOOBEBroker.exe,0.00,1,8.434,0.05,0,0,0.000,0.000
5.2569780349731445,32120,chrome.exe,0.00,18,85.820,0.53,0,0,0.000,0.000
5.2569780349731445,32004,msedgewebview2.exe,0.00,10,32.730,0.2,0,0,0.000,0.000
5.2569780349731445,31864,chrome.exe,0.00,18,106.934,0.66,0,0,0.000,0.000
5.2569780349731445,31656,svchost.exe,0.00,2,7.262,0.04,0,0,0.000,0.000
5.2569780349731445,31556,powershell.exe,0.00,23,94.559,0.58,0,0,0.000,0.000
5.2569780349731445,31552,chrome.exe,0.00,17,65.770,0.41,0,0,0.000,0.000
5.2569780349731445,31372,chrome.exe,0.00,17,50.496,0.31,0,0,0.000,0.000
7.959912300109863,5632,MsMpEng.exe,12.68,59,269.555,1.67,439,0,9511.227,0.000
7.959912300109863,9528,python.exe,10.47,17,75.887,0.47,0,0,0.000,0.000
7.959912300109863,7272,pycharm64.exe,1.51,135,1947.059,12.03,21,17,5.921,3371.146
7.959912300109863,9024,explorer.exe,1.19,131,213.141,1.32,0,0,0.000,0.000
7.959912300109863,18776,Taskmgr.exe,0.85,22,69.867,0.43,0,0,0.000,0.000
7.959912300109863,1412,dwm.exe,0.81,22,102.531,0.63,303,0,3.551,0.000
7.959912300109863,4,System,0.26,238,22.441,0.14,0,9,0.000,99.000
7.959912300109863,22336,conhost.exe,0.21,4,10.883,0.07,0,0,0.000,0.000
7.959912300109863,16172,chrome.exe,0.21,16,60.590,0.37,0,0,0.000,0.000
7.959912300109863,16164,chrome.exe,0.21,16,142.469,0.88,2,1,0.398,0.180
7.959912300109863,14372,TextInputHost.exe,0.21,27,41.305,0.26,0,0,0.000,0.000
7.959912300109863,12668,ctfmon.exe,0.21,11,14.812,0.09,0,0,0.000,0.000
7.959912300109863,10520,LenovoSmartNote.exe,0.20,12,37.852,0.23,0,0,0.000,0.000
7.959912300109863,8080,WTabletServiceISD.exe,0.20,12,8.719,0.05,0,0,0.000,0.000
