Time(sec),READ(#),WRITE(#),READ(KB),WRITE(KB)
2.8124072551727295,0,17,0.000,409.000
5.890409231185913,2,79,96.000,3014.500
8.719037055969238,6,18,176.000,3123.000
11.409128427505493,374,71,23776.500,6259.000
14.093822479248047,2,27,32.000,2408.000
16.91024160385132,11,56,98.000,4523.000
19.67441415786743,1,12,32.000,6176.000
22.409623622894287,2,14,4.500,4133.000
25.14472794532776,0,16,0.000,4394.000
27.842374563217163,0,27,0.000,649.000
30.555157899856567,373,51,23776.500,6228.500
33.25835680961609,1,38,32.000,656.000
36.004555225372314,21,51,370.000,1758.000
38.75705862045288,3,61,80.000,776.000
41.48946976661682,6,29,132.500,770.000
44.221407413482666,2,68,64.000,1115.000
46.91408371925354,0,25,0.000,454.000
49.6037335395813,375,29,23796.500,428.000
52.33869457244873,1,31,32.000,4287.500
55.074570417404175,15,40,194.000,529.000
57.513269662857056,6,36,64.000,733.000
60.01001739501953,1,19,0.500,867.000
62.43496513366699,0,17,0.000,265.000
64.97025752067566,0,21,0.000,549.500
67.42024540901184,155,6,9856.500,144.000
69.88235378265381,218,35,13920.000,4175.500
72.36169505119324,10,7,50.000,149.000
74.8005588054657,0,5,0.000,40.000
