Time(sec),PID,PNAME,CPU(%),NUM THREADS,MEMORY(MB),MEMORY(%),READ_IO(#),WRITE_IO(#),READ_IO(KB),WRITE_IO(KB)
0.426253080368042,16752,OneDrive.exe,11.82,29,228.613,1.41,0,0,0.000,0.000
0.426253080368042,5632,MsMpEng.exe,11.15,57,249.676,1.54,0,0,0.000,0.000
0.426253080368042,14240,python.exe,10.71,17,71.582,0.44,0,0,0.000,0.000
0.426253080368042,7272,pycharm64.exe,1.41,101,2304.828,14.24,0,0,0.000,0.000
0.426253080368042,22620,ShellExperienceHost.exe,1.39,29,95.988,0.59,0,0,0.000,0.000
0.426253080368042,1412,dwm.exe,1.09,16,126.020,0.78,0,0,0.000,0.000
0.426253080368042,13920,MfeAVSvc.exe,0.44,64,42.848,0.26,0,0,0.000,0.000
0.426253080368042,9024,explorer.exe,0.41,103,163.336,1.01,0,0,0.000,0.000
0.426253080368042,8104,sihost.exe,0.41,17,33.480,0.21,0,0,0.000,0.000
0.426253080368042,26152,SystemSettingsBroker.exe,0.24,22,32.020,0.2,0,0,0.000,0.000
0.426253080368042,14372,TextInputHost.exe,0.23,25,39.102,0.24,0,0,0.000,0.000
0.426253080368042,12612,EXCEL.EXE,0.21,42,111.125,0.69,0,0,0.000,0.000
0.426253080368042,8208,svchost.exe,0.20,11,21.621,0.13,0,0,0.000,0.000
0.426253080368042,1928,svchost.exe,0.14,5,6.137,0.04,0,0,0.000,0.000
0.426253080368042,1716,svchost.exe,0.14,17,26.781,0.17,0,0,0.000,0.000
0.426253080368042,4,System,0.12,234,3.656,0.02,0,0,0.000,0.000
0.426253080368042,27224,chrome.exe,0.00,17,117.551,0.73,0,0,0.000,0.000
0.426253080368042,26496,chrome.exe,0.00,17,38.125,0.24,0,0,0.000,0.000
0.426253080368042,26308,chrome.exe,0.00,17,43.883,0.27,0,0,0.000,0.000
0.426253080368042,25916,msedge.exe,0.00,19,113.406,0.7,0,0,0.000,0.000
3.3306329250335693,5632,MsMpEng.exe,13.39,57,243.598,1.51,1193,9,23785.419,16.181
3.3306329250335693,16752,OneDrive.exe,11.44,29,228.613,1.41,2,984,1024.535,632.342
3.3306329250335693,14240,python.exe,10.80,17,71.715,0.44,0,0,0.000,0.000
3.3306329250335693,7272,pycharm64.exe,2.27,100,2305.133,14.24,64,44,42.888,3344.649
3.3306329250335693,1412,dwm.exe,1.00,16,126.238,0.78,296,0,3.469,0.000
3.3306329250335693,4,System,0.86,234,3.656,0.02,0,9,0.000,51.000
3.3306329250335693,9024,explorer.exe,0.59,103,163.367,1.01,159,0,19.317,0.000
3.3306329250335693,23160,powershell.exe,0.44,23,94.465,0.58,0,0,0.000,0.000
3.3306329250335693,22620,ShellExperienceHost.exe,0.44,28,95.449,0.59,0,0,0.000,0.000
3.3306329250335693,12668,ctfmon.exe,0.41,14,13.516,0.08,0,0,0.000,0.000
3.3306329250335693,13920,MfeAVSvc.exe,0.21,64,39.598,0.24,0,23,0.000,3.344
3.3306329250335693,27224,chrome.exe,0.00,17,117.551,0.73,0,0,0.000,0.000
3.3306329250335693,26496,chrome.exe,0.00,17,38.125,0.24,0,0,0.000,0.000
3.3306329250335693,26308,chrome.exe,0.00,17,43.883,0.27,0,0,0.000,0.000
3.3306329250335693,26152,SystemSettingsBroker.exe,0.00,22,32.016,0.2,0,0,0.000,0.000
3.3306329250335693,25916,msedge.exe,0.00,19,113.406,0.7,0,0,0.000,0.000
3.3306329250335693,25868,chrome.exe,0.00,17,40.891,0.25,0,0,0.000,0.000
