Time(sec),Percentage
2.8124072551727295,41.3
5.882386684417725,43.4
8.719037055969238,44.2
11.409128427505493,34.4
14.093822479248047,36.2
16.894620895385742,35.5
19.67441415786743,34.5
22.409623622894287,34.2
25.14472794532776,34.4
27.835778951644897,33.5
30.555157899856567,33.8
33.25835680961609,36.0
36.004555225372314,35.0
38.75705862045288,33.2
41.48946976661682,34.0
44.221407413482666,34.3
46.91408371925354,34.2
49.6037335395813,34.7
52.33869457244873,34.8
55.05903220176697,35.7
57.513269662857056,22.7
60.01001739501953,23.5
62.43496513366699,21.8
64.97025752067566,22.1
67.40462732315063,22.1
69.88235378265381,22.3
72.36169505119324,23.0
74.8005588054657,21.0
