Time(sec),READ(#),WRITE(#),READ(KB),WRITE(KB)
3.205838203430176,51,74,1552.000,2927.000
6.745808839797974,15,108,346.500,1984.500
9.74678349494934,1,112,4.000,2570.000
12.634430408477783,374,70,23776.500,5190.500
15.517719984054565,3,68,64.000,850.000
18.461490631103516,11,34,78.000,527.000
21.461761236190796,1,15,4.000,288.000
24.428954601287842,2,46,4.500,1484.500
27.36818790435791,0,26,0.000,319.500
30.34497356414795,1,39,12.000,549.500
33.11383414268494,469,40,27492.500,587.000
36.19587707519531,0,66,0.000,4555.000
39.13418769836426,11,39,82.000,456.000
42.11932945251465,0,75,0.000,1508.000
45.13628935813904,6,32,72.500,361.000
48.04388403892517,4,46,64.000,1333.000
50.99565863609314,4,53,96.000,654.500
53.8883216381073,0,24,0.000,481.000
56.79070472717285,374,34,23808.500,4355.000
59.57020378112793,4,50,96.000,690.000
62.44390535354614,13,18,118.000,424.000
65.19035625457764,0,16,0.000,236.000
