Time(sec),PID,PNAME,CPU(%),NUM THREADS,MEMORY(MB),MEMORY(%),READ_IO(#),WRITE_IO(#),READ_IO(KB),WRITE_IO(KB)
0.41550588607788086,16752,OneDrive.exe,11.64,31,231.234,1.43,0,0,0.000,0.000
0.41550588607788086,5632,MsMpEng.exe,11.39,56,239.051,1.48,0,0,0.000,0.000
0.41550588607788086,24380,python.exe,10.49,17,71.527,0.44,0,0,0.000,0.000
0.41550588607788086,1412,dwm.exe,1.70,22,136.590,0.84,0,0,0.000,0.000
0.41550588607788086,4,System,1.29,234,3.648,0.02,0,0,0.000,0.000
0.41550588607788086,25596,powershell.exe,0.42,23,94.184,0.58,0,0,0.000,0.000
0.41550588607788086,9024,explorer.exe,0.40,106,167.781,1.04,0,0,0.000,0.000
0.41550588607788086,13920,MfeAVSvc.exe,0.23,64,36.961,0.23,0,0,0.000,0.000
0.41550588607788086,8104,sihost.exe,0.20,16,33.566,0.21,0,0,0.000,0.000
0.41550588607788086,5308,SmartNote.Service.exe,0.17,5,6.926,0.04,0,0,0.000,0.000
0.41550588607788086,27224,chrome.exe,0.00,17,117.527,0.73,0,0,0.000,0.000
0.41550588607788086,26512,conhost.exe,0.00,4,10.883,0.07,0,0,0.000,0.000
0.41550588607788086,26496,chrome.exe,0.00,17,38.133,0.24,0,0,0.000,0.000
0.41550588607788086,26308,chrome.exe,0.00,17,44.152,0.27,0,0,0.000,0.000
0.41550588607788086,26152,SystemSettingsBroker.exe,0.00,15,31.789,0.2,0,0,0.000,0.000
0.41550588607788086,25916,msedge.exe,0.00,19,128.625,0.79,0,0,0.000,0.000
0.41550588607788086,25868,chrome.exe,0.00,17,44.355,0.27,0,0,0.000,0.000
0.41550588607788086,25588,chrome.exe,0.00,17,40.484,0.25,0,0,0.000,0.000
0.41550588607788086,25288,chrome.exe,0.00,17,85.031,0.53,0,0,0.000,0.000
0.41550588607788086,24848,chrome.exe,0.00,17,39.359,0.24,0,0,0.000,0.000
3.716071128845215,5632,MsMpEng.exe,12.65,56,246.652,1.52,1177,31,23727.259,60.438
3.716071128845215,16752,OneDrive.exe,11.01,28,230.117,1.42,0,1021,0.000,660.693
3.716071128845215,24380,python.exe,10.95,17,71.586,0.44,0,0,0.000,0.000
3.716071128845215,9840,SearchHost.exe,1.99,65,87.965,0.54,0,0,0.000,0.000
