Time(sec),Percentage
3.2038373947143555,47.6
6.730185270309448,53.8
9.74678349494934,35.1
12.634430408477783,34.3
15.50770902633667,35.2
18.461490631103516,35.8
21.461761236190796,33.7
24.41340970993042,35.5
27.36818790435791,35.1
30.329345703125,35.9
33.11383414268494,23.2
36.19587707519531,38.3
39.13418769836426,39.7
42.11932945251465,34.4
45.13628935813904,34.3
48.0282621383667,34.1
50.99565863609314,35.2
53.8883216381073,35.1
56.77508020401001,34.5
59.57020378112793,36.1
62.44390535354614,33.9
65.19035625457764,21.4
