Time(sec),Used(GB),Percentage
3.2048380374908447,10.982,69.5
6.730185270309448,10.926,69.1
9.74678349494934,10.920,69.1
12.634430408477783,10.918,69.1
15.50770902633667,10.912,69.0
18.461490631103516,10.919,69.1
21.461761236190796,10.917,69.1
24.41340970993042,10.913,69.1
27.36818790435791,10.913,69.1
30.34497356414795,10.905,69.0
33.11383414268494,10.913,69.0
36.19587707519531,10.932,69.2
39.13418769836426,10.922,69.1
42.11932945251465,10.924,69.1
45.13628935813904,10.894,68.9
48.0282621383667,10.915,69.1
50.99565863609314,10.908,69.0
53.8883216381073,10.916,69.1
56.77508020401001,10.919,69.1
59.57020378112793,10.917,69.1
62.44390535354614,10.922,69.1
65.19035625457764,10.914,69.1
