start_time,end_time,time_range,search_name,alert,duration_values,duration,cpu,read_count,write_count,read_bytes,write_bytes,memory_mb
12/01/2024:00:00:00,12/03/2024:00:00:00,"(Timestamp('2024-12-01 00:00:00'), Timestamp('2024-12-03 00:00:00'))",Clop Ransomware Known Service Name,0,,6.955,1.79,14952.0,87.0,34025472.0,139264.0,13.734375
12/01/2024:00:00:00,12/03/2024:00:00:00,"(Timestamp('2024-12-01 00:00:00'), Timestamp('2024-12-03 00:00:00'))",Detect New Local Admin account,0,,9.523,4.34,101962.0,386.0,14929920.0,249856.0,24.44921875
12/01/2024:00:00:00,12/03/2024:00:00:00,"(Timestamp('2024-12-01 00:00:00'), Timestamp('2024-12-03 00:00:00'))",ESCU Network Share Discovery Via Dir Command Rule,0,,15.951,8.49,79662.0,481.0,141615104.0,475136.0,22.35546875
12/01/2024:00:00:00,12/03/2024:00:00:00,"(Timestamp('2024-12-01 00:00:00'), Timestamp('2024-12-03 00:00:00'))",ESCU Windows Rapid Authentication On Multiple Hosts Rule,0,,13.238,7.0,54165.0,834.0,118784000.0,495616.0,13.7578125
12/01/2024:00:00:00,12/03/2024:00:00:00,"(Timestamp('2024-12-01 00:00:00'), Timestamp('2024-12-03 00:00:00'))",Kerberoasting spn request with RC4 encryption,0,,9.971,3.95,51010.0,429.0,77578240.0,278528.0,25.0234375
12/01/2024:00:00:00,12/03/2024:00:00:00,"(Timestamp('2024-12-01 00:00:00'), Timestamp('2024-12-03 00:00:00'))",Known Services Killed by Ransomware,0,,11.876,4.9,34367.0,472.0,115691520.0,466944.0,29.5234375
12/01/2024:00:00:00,12/03/2024:00:00:00,"(Timestamp('2024-12-01 00:00:00'), Timestamp('2024-12-03 00:00:00'))",Non Chrome Process Accessing Chrome Default Dir,0,,14.67,6.69,64902.0,521.0,148758528.0,487424.0,30.3671875
12/01/2024:00:00:00,12/03/2024:00:00:00,"(Timestamp('2024-12-01 00:00:00'), Timestamp('2024-12-03 00:00:00'))",Windows AD Replication Request Initiated from Unsanctioned Location,0,,25.83,20.31,225289.0,467.0,108388352.0,651264.0,40.98046875
12/01/2024:00:00:00,12/03/2024:00:00:00,"(Timestamp('2024-12-01 00:00:00'), Timestamp('2024-12-03 00:00:00'))",Windows Event For Service Disabled,0,,14.98,7.1,55717.0,533.0,159485952.0,495616.0,46.95703125
04/01/2025:00:00:00,04/03/2025:00:00:00,"(Timestamp('2025-04-01 00:00:00'), Timestamp('2025-04-03 00:00:00'))",Clop Ransomware Known Service Name,0,,32.016,2.97,30027.0,500.0,156139520.0,708608.0,18.734375
04/01/2025:00:00:00,04/03/2025:00:00:00,"(Timestamp('2025-04-01 00:00:00'), Timestamp('2025-04-03 00:00:00'))",Detect New Local Admin account,0,,33.817,4.83,80513.0,656.0,161026048.0,778240.0,27.015625
04/01/2025:00:00:00,04/03/2025:00:00:00,"(Timestamp('2025-04-01 00:00:00'), Timestamp('2025-04-03 00:00:00'))",ESCU Network Share Discovery Via Dir Command Rule,0,,33.656,5.66,70597.0,672.0,278958080.0,839680.0,12.48046875
04/01/2025:00:00:00,04/03/2025:00:00:00,"(Timestamp('2025-04-01 00:00:00'), Timestamp('2025-04-03 00:00:00'))",ESCU Windows Rapid Authentication On Multiple Hosts Rule,0,,39.761,13.88,57036.0,821.0,286732288.0,1007616.0,34.13671875
04/01/2025:00:00:00,04/03/2025:00:00:00,"(Timestamp('2025-04-01 00:00:00'), Timestamp('2025-04-03 00:00:00'))",Kerberoasting spn request with RC4 encryption,0,,32.254,4.19,55032.0,557.0,207544320.0,737280.0,21.43359375
04/01/2025:00:00:00,04/03/2025:00:00:00,"(Timestamp('2025-04-01 00:00:00'), Timestamp('2025-04-03 00:00:00'))",Known Services Killed by Ransomware,3,,34.514,4.76,47701.0,684.0,285777920.0,1089536.0,42.4921875
