Time(sec),REMAINING BATTERY(%),REMAINING CAPACITY(mWh),Voltage(mV)
0.21389079093933105,97.0,70400.0,16886.0
4.409823894500732,97.0,70370.0,16743.0
11.918196201324463,97.0,70370.0,16743.0
17.950452089309692,97.0,70370.0,16743.0
24.24172019958496,97.0,70370.0,16743.0
30.417818546295166,97.0,70370.0,16743.0
36.74410319328308,97.0,70370.0,16743.0
43.22498822212219,97.0,70130.0,16790.0
49.75449800491333,97.0,70130.0,16790.0
56.05051255226135,97.0,70030.0,16793.0
62.15108013153076,97.0,70030.0,16793.0
68.30069851875305,97.0,70030.0,16793.0
74.50851702690125,97.0,70030.0,16793.0
80.71106958389282,96.0,69890.0,16793.0
86.93071174621582,96.0,69890.0,16793.0
93.07515668869019,96.0,69890.0,16793.0
99.1065125465393,96.0,69890.0,16793.0
105.66018629074097,96.0,69890.0,16793.0
