Time(sec),READ(#),WRITE(#),READ(KB),WRITE(KB)
3.8898441791534424,81,138,2061.000,1975.000
11.400346040725708,246,268,5127.000,2473.500
17.42093300819397,311,315,5793.500,4067.500
23.720127820968628,617,92,24915.000,4969.000
29.89356255531311,78,70,1192.000,22082.000
36.22349786758423,66,48,1530.000,542.000
42.70103144645691,30,78,688.500,921.000
49.23480010032654,25,110,451.000,2184.500
55.522098779678345,13,153,476.500,2295.500
61.6330885887146,3,93,188.000,1097.000
67.77436399459839,4,77,80.000,1019.000
73.98675560951233,3,38,132.000,514.500
80.18529081344604,4,101,92.000,934.000
86.39955592155457,373,94,23776.500,4773.000
92.55735850334167,3,42,160.000,424.000
98.57899403572083,82,44,3366.000,397.000
105.13094592094421,36,154,944.000,2474.500
111.4064588546753,15,109,1280.000,5239.500
