Time(sec),Used(GB),Percentage
3.8888494968414307,14.411,91.2
11.397321701049805,14.447,91.4
17.417936086654663,14.449,91.4
23.716588497161865,14.446,91.4
29.888564348220825,14.283,90.4
36.22127318382263,14.283,90.4
42.698466539382935,14.285,90.4
49.23077893257141,14.315,90.6
55.51809549331665,14.319,90.6
61.629921197891235,14.294,90.4
67.77136301994324,14.298,90.5
73.98185396194458,14.294,90.4
80.18251514434814,14.296,90.5
86.3970160484314,14.310,90.5
92.555837392807,14.301,90.5
98.57574725151062,14.309,90.5
105.12570524215698,14.302,90.5
111.40258479118347,14.320,90.6
