,Time(sec),READ(#),WRITE(#),READ(KB),WRITE(KB)
0,1.3890316486358643,0,16,0.000,1239.500
1,3.093543767929077,4,17,724.000,2068.500
2,4.967110872268677,2,41,36.000,403.500
3,7.027448415756226,2,33,8.000,1411.500
4,8.864313840866089,19,25,228.000,1091.500
5,11.674393892288208,33,52,460.000,970.000
6,15.016093969345093,6,68,44.000,1446.000
7,18.17268204689026,410,55,16249.500,1208.000
8,21.43719744682312,25,92,304.000,3834.000
9,24.711487770080566,45,177,452.000,2304.500
10,27.994048595428467,74,154,1471.000,1950.500
11,31.350948572158813,12,159,1784.000,6705.500
12,34.596532344818115,46,78,668.500,1676.000
13,37.77153563499451,2,92,272.000,1760.000
14,40.867334842681885,11,39,66.000,347.000
15,43.79057478904724,0,35,0.000,394.000
16,46.80575895309448,0,9,0.000,322.500
17,49.88883709907532,0,8,0.000,88.500
18,53.05009841918945,0,10,0.000,393.000
19,56.05764937400818,0,26,0.000,518.000
20,59.18986988067627,3,33,24.000,1615.000
21,62.093225717544556,1,58,32.000,503.500
22,65.15775561332703,2,27,20.000,698.000
23,68.11597657203674,0,39,0.000,827.500
24,71.1666932106018,0,21,0.000,256.500
25,73.86805963516235,232,11,14724.500,181.000
26,76.987637758255,0,25,0.000,3269.000
27,80.15982413291931,0,42,0.000,298.500
28,83.3713219165802,0,25,0.000,240.000
29,86.50171637535095,10,50,100.000,1118.500
30,89.25749897956848,0,70,0.000,770.500
31,92.06918573379517,0,25,0.000,244.000
32,94.80250310897827,10,17,50.000,222.000
33,97.66776442527771,0,29,0.000,387.000
34,100.46997928619385,0,10,0.000,141.500
35,103.3594160079956,0,8,0.000,210.000
36,106.34590411186218,0,8,0.000,53.000
37,109.14954447746277,0,8,0.000,277.000
38,111.91830039024353,1,12,32.000,171.500
