Monitoring imports on 159 and 184...
184 import will be monitored after export PID 3193137 finishes.
[02:53:47] 159: running=True, files_left=1179
[02:55:48] 159: running=True, files_left=1168
[02:57:50] 159: running=True, files_left=1162
[02:59:51] 159: running=True, files_left=1158
[03:01:52] 159: running=True, files_left=1154
[03:03:54] 159: running=True, files_left=1148
[03:05:55] 159: running=True, files_left=1144
[03:07:56] 159: running=True, files_left=1141
[03:09:57] 159: running=True, files_left=1138
[03:11:59] 159: running=True, files_left=1133
[03:14:00] 159: running=True, files_left=1129
[03:16:01] 159: running=True, files_left=1125
[03:18:02] 159: running=True, files_left=1120
[03:20:04] 159: running=True, files_left=1117
[03:22:05] 159: running=True, files_left=1114
[03:24:06] 159: running=True, files_left=1110
[03:26:08] 159: running=True, files_left=1106
[03:28:09] 159: running=True, files_left=1102
[03:30:10] 159: running=True, files_left=1099
[03:32:12] 159: running=True, files_left=1094
[03:34:13] 159: running=True, files_left=1091
[03:36:14] 159: running=True, files_left=1087
[03:38:15] 159: running=True, files_left=1084
[03:40:16] 159: running=True, files_left=1079
[03:42:18] 159: running=True, files_left=1076
[03:44:19] 159: running=True, files_left=1073
[03:46:20] 159: running=True, files_left=1069
[03:48:22] 159: running=True, files_left=1065
[03:50:23] 159: running=True, files_left=1062
[03:52:24] 159: running=True, files_left=1056
[03:54:26] 159: running=True, files_left=1053
[03:56:27] 159: running=True, files_left=1045
[03:58:28] 159: running=True, files_left=1037
[04:00:30] 159: running=True, files_left=1033
[04:02:31] 159: running=True, files_left=1030
[04:04:32] 159: running=True, files_left=1025
[04:06:33] 159: running=True, files_left=1020
[04:08:35] 159: running=True, files_left=1017
[04:10:36] 159: running=True, files_left=1014
[04:12:37] 159: running=True, files_left=1011
[04:14:39] 159: running=True, files_left=1005
[04:16:40] 159: running=True, files_left=1001
[04:18:42] 159: running=True, files_left=997
[04:20:43] 159: running=True, files_left=993
[04:22:45] 159: running=True, files_left=990
[04:24:46] 159: running=True, files_left=987
[04:26:47] 159: running=True, files_left=981
[04:28:49] 159: running=True, files_left=978
[04:30:50] 159: running=True, files_left=975
[04:32:51] 159: running=True, files_left=971
[04:34:53] 159: running=True, files_left=967
[04:36:54] 159: running=True, files_left=956
[04:38:55] 159: running=True, files_left=948
[04:40:57] 159: running=True, files_left=945
[04:42:58] 159: running=True, files_left=942
[04:45:00] 159: running=True, files_left=939
[04:47:01] 159: running=True, files_left=936
[04:49:03] 159: running=True, files_left=932
[04:51:04] 159: running=True, files_left=928
[04:53:06] 159: running=True, files_left=925
[04:55:07] 159: running=True, files_left=922
[04:57:08] 159: running=True, files_left=918
[04:59:09] 159: running=True, files_left=914
[05:01:11] 159: running=True, files_left=910
[05:03:12] 159: running=True, files_left=907
